ID;description
3000294;TARIFA BASE DE OPERACIONES
3000295;DRILL - SEALING ELEMENT (CBIO. X UNIDAD)
3000296;DESPARAFINACION OPER SIMPLE TBG 1RAS 5HS
3000297;DENSIDAD/PE REGISTRO
3000298;CARGO POR KILOMETRAJE
3000299;INSTALACION RADIO MOVIL PICK-UP
3000300;PROVISION CABLE COAXIAL RG58
3000301;RECUPERACION Y ARENADO DE PARTES
3000302;PROVISION DE QUIMICOS PARA POZOS DE GAS
3000303;ALQUILER DE CONTENEDOR
3000304;HORA SOLDADURA Y HERRERIA
3000305;MOVILIZACION/DESMOVILIZACION RETRO
3000306;H°A° P/CÁMARA H21 50KG/CM3 DE ACERO
3000307;ALQUILER COCHERAS SODIMAC
3000308;VINILO CALANDRADO GRADO INGENIERIA
3000309;PINTURA EPOXI-POLIESTER (HORNO)
3000310;HORA ESPERA FUERZA MAYOR CON PERSONAL
3000311;DTM HASTA 10 KM
3000312;DTM HASTA 30 KM
3000313;BES - SERVICIO DE MEITOREO SATELITAL
3000314;GOMA LIMPIA CANO 2 7/8' X 14'
3000315;TELAS DE ZARANDA MAYOR 145 MESH
3000316;PROVISION DE GAS OIL CON TRANSPORTE
3000317;DIA STAND-BY DEL SERVICIO C/GENERADOR
3000318;CAMION CISTERNA 35 M3 - 12 HS - ON CALL
3000319;RAYO GAMMA PROFUNDIDAD
3000320;SERVICIO RIG READY TUBULARES HASTA 5 '
3000321;PROVISION CONECTOR COAXIAL PARA RG58
3000322;PROVISION CONECTOR MINI UHF
3000323;FLETE
3000324;CHAPA NEGRA NRO 14 (SIN DECORAR)
3000325;COMPRESION DE GAS EN PTG T1
3000326;REPUESTOS PARA MOTORES DE AIB
3000327;RETROEXCAVADORA HORA OPERATIVA
3000328;SERVICIO DE ENDULZADO DE GAS T2
3000329;DESPARAFINACION OTRA OPERACION 1RAS 8HS
3000330;DESPARAFINACION OP SIMPLE TBG/LC HS SUBS
3000331;SE INSTALACION DE CABEZALES SECC A-B-C
3000332;GAMMA RAY SPECTRAL - REGIISTRO
3000333;TRANSPORTE UNIDAD LIVIANA N/P SC-0006
3000334;RECUPERADOR (CHUPA) 35M3 - 12HS ON CALL
3000335;11 02 PACKER TKR1 5 1/2 BAS 12HS OP.C
3000336;S-2520 - INH DE INCRUSTACIONES
3000337;TENDIDO DE LINEA Ø 4'
